Nationality,n,percent,Nationality.GN.GS
Algeria,1,3,GS
Brazil,1,3,GS
Chile,1,3,GS
China,1,3,GS
Ethiopia,1,3,GS
France,1,3,GN
Germany,3,8,GN
Ghana,1,3,GS
India,11,28,GS
Iran,1,3,GS
Kenya,1,3,GS
Netherlands,1,3,GN
Portugal,3,8,GN
Singapore,1,3,GS
Taiwan,1,3,GS
Tanzania,1,3,GS
Thailand,1,3,GS
United Kingdom,2,5,GN
United States,6,15,GN
