CareerLocation,n,percent,CareerLocation.GN.GS
Algeria,1,3,GS
Brazil,1,3,GS
Chile,1,3,GS
Denmark,1,3,GN
Ethiopia,1,3,GS
Germany,3,8,GN
Ghana,1,3,GS
I'd prefer not to answer,1,3,I'd prefer not to answer
India,5,13,GS
Iran,1,3,GS
Kenya,1,3,GS
Netherlands,1,3,GN
Portugal,4,10,GN
Singapore,1,3,GS
Switzerland,1,3,GN
Tanzania,1,3,GS
Thailand,1,3,GS
United States,13,33,GN
